index,title,certificate,genre,runtime,rating
4087,Unhinged,A,"Action, Thriller",90 min,6
4088,Becky,R,"Action, Crime, Drama",93 min,5.9
4089,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
4090,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
4091,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
4092,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
4093,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
4094,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
4095,Greenland,UA,"Action, Thriller",119 min,6.4
4096,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
4097,Kol,16,"Crime, Horror, Mystery",112 min,7.1
4098,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
4099,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
4100,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
4101,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
4102,365 dni,A,"Drama, Romance",114 min,3.3
4103,The Father,UA,"Drama, Mystery",97 min,8.2
4104,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
4105,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
4106,Hamilton,12+,"Biography, Drama, History",160 min,8.3
4107,After We Collided,18,"Drama, Romance",105 min,5
4108,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
4109,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
4110,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
4111,Extraction,18,"Action, Thriller",116 min,6.7
4112,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
4113,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
4114,Druk,16,"Comedy, Drama",117 min,7.7
4115,The Old Guard,18,"Action, Thriller",125 min,6.6
4116,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
4117,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
4118,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
4119,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
4120,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
4121,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
4122,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
4123,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
4124,De slag om de Schelde,18,"Drama, War",124 min,7.1
4125,Soul,U,"Animation, Adventure, Comedy",100 min,8
4126,Greyhound,A,"Action, Drama, History",91 min,7
4127,Minari,UA,Drama,115 min,7.4
4128,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
4129,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
4130,Pieces of a Woman,18,Drama,126 min,7
4131,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
4132,Run,16,"Mystery, Thriller",90 min,6.7
4133,The Way Back,R,"Drama, Sport",108 min,6.7
4134,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
4135,Nomadland,UA,Drama,107 min,7.3
4136,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
4137,Unhinged,A,"Action, Thriller",90 min,6
4138,Becky,R,"Action, Crime, Drama",93 min,5.9
4139,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
4140,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
4141,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
4142,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
4143,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
4144,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
4145,Greenland,UA,"Action, Thriller",119 min,6.4
4146,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
4147,Kol,16,"Crime, Horror, Mystery",112 min,7.1
4148,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
4149,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
4150,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
4151,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
4152,365 dni,A,"Drama, Romance",114 min,3.3
4153,The Father,UA,"Drama, Mystery",97 min,8.2
4154,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
4155,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
4156,Hamilton,12+,"Biography, Drama, History",160 min,8.3
4157,After We Collided,18,"Drama, Romance",105 min,5
4158,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
4159,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
4160,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
4161,Extraction,18,"Action, Thriller",116 min,6.7
4162,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
4163,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
4164,Druk,16,"Comedy, Drama",117 min,7.7
4165,The Old Guard,18,"Action, Thriller",125 min,6.6
4166,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
4167,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
4168,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
4169,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
4170,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
4171,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
4172,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
4173,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
4174,De slag om de Schelde,18,"Drama, War",124 min,7.1
4175,Soul,U,"Animation, Adventure, Comedy",100 min,8
4176,Greyhound,A,"Action, Drama, History",91 min,7
4177,Minari,UA,Drama,115 min,7.4
4178,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
4179,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
4180,Pieces of a Woman,18,Drama,126 min,7
4181,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
4182,Run,16,"Mystery, Thriller",90 min,6.7
4183,The Way Back,R,"Drama, Sport",108 min,6.7
4184,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
4185,Nomadland,UA,Drama,107 min,7.3
4186,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
4187,Unhinged,A,"Action, Thriller",90 min,6
4188,Becky,R,"Action, Crime, Drama",93 min,5.9
4189,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
4190,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
4191,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
4192,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
4193,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
4194,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
4195,Greenland,UA,"Action, Thriller",119 min,6.4
4196,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
4197,Kol,16,"Crime, Horror, Mystery",112 min,7.1
4198,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
