index,title,certificate,genre,runtime,rating
2815,The Black Phone,A,"Horror, Thriller",103 min,6.9
2816,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2817,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2818,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2819,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2820,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2821,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2822,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2823,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2824,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2825,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2826,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2827,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2828,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2829,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2830,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
2831,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2832,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2833,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
2834,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2835,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2836,Pleasure,R,Drama,109 min,6.4
2837,The Last Duel,A,"Action, Drama, History",152 min,7.4
2838,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2839,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2840,The Power of the Dog,16,"Drama, Western",126 min,6.8
2841,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2842,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2843,Pig,R,"Drama, Mystery",92 min,6.9
2844,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2845,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2846,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2847,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2848,Silent Hours,None,"Crime, Thriller",156 min,5.2
2849,Boiling Point,R,"Drama, Thriller",92 min,7.5
2850,The Road Dance,None,Drama,116 min,7
2851,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2852,Nobody,A,"Action, Crime, Drama",92 min,7.4
2853,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2854,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2855,CODA,A,"Comedy, Drama, Music",111 min,8
